Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
11294	2.8	42943	128.3	42943	130.9	
11335	2.2	42913	128.3	42913	130.9	
11386	1.7	42883	128.3	42883	130.9	
11438	2.2	42852	127.2	42852	130.9	
11480	2.2	42822	127.2	42822	130.9	
11501	1.7	42792	127.2	42792	129.8	
11532	2.2	42762	126.1	42762	129.8	
11584	2.2	42732	126.1	42732	128.7	
11637	1.7	42672	125.0	42672	128.7	
11680	1.7	42642	125.0	42642	128.7	
11701	1.7	42612	125.0	42612	127.6	
11743	1.7	42582	123.9	42582	127.6	
11786	2.2	42522	123.9	42522	126.5	
11840	1.7	42492	123.9	42492	126.4	
11883	2.2	42462	123.9	42462	126.5	
11905	1.7	42432	122.8	42432	126.4	
11937	2.2	42372	122.8	42372	125.4	
11992	1.7	42341	122.8	42341	125.3	
12047	1.7	42311	122.8	42311	125.3	
12091	1.7	42281	121.7	42281	124.3	
12113	2.2	42221	121.7	42221	124.2	
12146	1.7	42191	120.6	42191	124.2	
12201	1.7	42161	120.6	42161	123.1	
12257	1.7	42101	120.6	42101	123.1	
12302	1.7	42071	120.6	42071	122.0	
12359	1.7	42041	119.5	42041	123.1	
12381	2.2	42011	119.5	42011	122.0	
12415	2.2	41951	118.4	41951	122.0	
12472	1.7	41921	118.4	41921	120.9	
12518	1.7	41891	118.4	41891	120.9	
12576	1.1	41861	117.3	41861	120.9	
12599	1.7	41800	117.2	41800	120.9	
12634	1.7	41770	117.2	41770	119.8	
12692	1.1	41740	116.2	41740	118.7	
12739	1.7	41680	117.2	41680	119.7	
12798	1.7	41650	116.2	41650	118.6	
12822	1.7	41620	115.0	41620	119.7	
12858	1.7	41590	115.1	41590	118.6	
12917	1.1	41530	115.0	41530	117.5	
12965	1.7	41500	115.0	41500	118.6	
13026	1.1	41470	113.9	41470	117.5	
13050	1.7	41440	113.9	41440	116.4	
13086	1.7	41380	113.9	41380	116.4	
13147	1.1	41350	113.9	41350	115.3	
13208	1.1	41320	112.8	41320	116.4	
13258	1.1	41290	111.7	41290	115.3	
13320	1.1	41229	111.7	41229	115.3	
13370	1.1	41199	111.7	41199	114.2	
13395	1.1	41169	111.7	41169	114.2	
13445	1.1	41109	111.7	41109	113.1	
13496	1.7	41079	109.5	41079	114.2	
13560	1.1	41049	109.5	41049	113.0	
13611	0.6	41019	109.5	41019	113.0	
13637	0.6	40989	109.5	40989	112.0	
13688	1.7	40929	109.5	40929	112.0	
13740	1.7	40899	109.5	40899	112.0	
13805	1.1	40869	108.4	40869	111.9	
13858	1.7	40808	108.4	40808	111.9	
13884	1.7	40778	108.4	40778	110.8	
13937	1.7	40748	108.4	40748	110.8	
13990	1.1	40718	107.3	40718	109.7	
14057	1.7	40658	107.3	40658	109.7	
14125	1.1	40628	107.3	40628	109.7	
14193	1.1	40598	106.2	40598	109.7	
14248	1.1	40538	106.2	40538	108.6	
14316	1.1	40508	105.1	40508	108.6	
14386	1.7	40478	104.0	40478	107.5	
14442	0.6	40448	104.0	40448	107.5	
14470	1.1	40388	104.0	40388	106.4	
14512	1.1	40358	104.0	40358	106.3	
14583	1.1	40327	104.0	40327	106.4	
14655	0.6	40297	102.9	40297	105.3	
14712	1.1	40237	101.8	40237	105.3	
14741	0.6	40207	101.8	40207	105.2	
14784	0.6	40177	101.8	40177	105.2	
14857	1.1	40147	100.7	40147	104.1	
14931	1.1	40087	100.7	40087	104.1	
14991	0.6	40057	100.7	40057	103.0	
15020	1.1	40027	100.7	40027	103.0	
15065	1.7	39967	100.7	39967	103.0	
15141	1.1	39937	100.7	39937	103.0	
15216	0.6	39907	100.7	39907	103.0	
15278	1.7	39876	100.7	39876	103.0	
15309	1.1	39816	99.6	39816	103.0	
15355	1.1	39786	99.6	39786	103.0	
15433	1.1	39756	98.5	39756	101.9	
15511	1.1	39726	98.5	39726	101.9	
15575	1.1	39666	98.5	39666	101.9	
15655	1.1	39636	98.5	39636	101.9	
15687	1.1	39606	98.5	39606	100.8	
15736	1.1	39576	98.5	39576	100.8	
15817	1.1	39516	96.3	39516	99.7	
15899	0.6	39486	96.3	39486	99.6	
15966	1.1	39456	96.3	39456	99.6	
15999	1.1	39395	96.3	39395	98.5	
16049	0.6	39365	95.2	39365	98.5	
16134	0.6	39335	94.1	39335	98.5	
16202	0.6	39305	94.1	39305	97.4	
16288	1.1	39245	94.1	39245	97.4	
16323	0.6	39215	94.1	39215	97.4	
16375	1.1	39185	94.1	39185	96.3	
16463	0.6	39155	93.0	39155	96.3	
16552	0.6	39095	93.0	39095	96.3	
16624	1.1	39065	91.9	39065	96.3	
16660	0.6	39035	91.9	39035	95.2	
16714	1.1	39005	91.9	39005	95.2	
16806	0.6	38945	91.9	38945	95.2	
16899	1.1	38915	91.9	38915	95.2	
16974	0.6	38884	91.9	38884	95.2	
17068	0.6	38854	91.9	38854	94.1	
17145	0.6	38794	91.9	38794	94.1	
17183	0.6	38764	90.8	38764	94.1	
17261	1.1	38734	90.8	38734	94.1	
17339	1.1	38674	90.7	38674	93.0	
17439	0.6	38644	89.6	38644	92.9	
17519	1.1	38614	89.6	38614	92.9	
