Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
10339	10.6	5546	91.9	5546	94.1	
10470	11.7	5576	91.9	5576	94.1	
10537	8.9	5606	91.9	5606	94.1	
10638	8.9	5636	90.8	5636	94.1	
10811	10.0	5696	89.6	5696	93.0	
10989	11.1	5726	89.6	5726	92.9	
11136	10.6	5757	89.6	5757	91.8	
11211	9.4	5817	88.6	5817	91.8	
11325	8.9	5847	87.4	5847	90.7	
11520	9.4	5877	87.4	5877	90.7	
11722	10.0	5907	87.4	5907	89.6	
11889	7.2	5967	86.3	5967	88.5	
11975	8.9	5997	86.3	5997	88.5	
12106	8.3	6027	85.2	6027	88.5	
12333	8.3	6087	84.1	6087	87.4	
12570	11.1	6117	84.1	6117	86.3	
12767	8.3	6147	84.1	6147	86.3	
12869	10.6	6177	84.1	6177	86.2	
13026	8.9	6237	83.0	6237	86.2	
13299	11.1	6267	83.0	6267	86.2	
13590	8.3	6297	83.0	6297	85.2	
13836	11.7	6327	83.0	6327	85.2	
14165	8.9	6387	83.0	6387	85.2	
14521	10.0	6417	83.0	6417	85.2	
14910	12.2	6448	83.0	6448	86.2	
15252	10.6	6478	81.9	6478	86.2	
15728	8.9	6538	81.9	6538	86.2	
16226	8.3	6568	82.0	6568	86.2	
16724	8.9	6598	83.0	6598	86.2	
17122	10.0	6628	83.0	6628	86.2	
17620	8.9	6688	83.0	6688	86.2	
17815	8.9	6718	83.0	6718	86.2	
18086	9.4	6748	83.0	6748	86.2	
18496	8.9	6778	83.0	6778	86.2	
18795	11.1	6838	83.0	6838	86.2	
19140	8.9	6868	81.9	6868	86.2	
19270	10.6	6898	81.9	6898	85.2	
19458	9.4	6958	81.9	6958	84.1	
19755	11.1	6988	81.9	6988	84.0	
19980	10.6	7018	80.8	7018	84.0	
20246	10.0	7048	79.7	7048	83.0	
20348	8.9	7108	79.7	7108	82.9	
20497	11.7	7138	79.7	7138	81.8	
20737	10.6	7168	78.6	7168	81.8	
20921	8.9	7229	78.6	7229	80.7	
21142	8.3	7259	77.5	7259	80.7	
21353	7.2	7289	77.5	7289	79.6	
21517	10.0	7319	76.4	7319	79.5	
21597	11.1	7349	76.4	7349	79.5	
21753	8.9	7409	76.4	7409	79.5	
21905	8.9	7439	76.4	7439	78.5	
22090	10.0	7469	75.3	7469	78.5	
22233	8.9	7529	75.3	7529	78.4	
22304	11.1	7559	75.3	7559	77.4	
22443	10.0	7589	74.2	7589	77.3	
22578	9.4	7619	74.2	7619	77.3	
22742	10.0	7679	74.2	7679	77.3	
22871	9.4	7709	74.2	7709	77.3	
22934	10.0	7739	74.2	7739	77.3	
23059	9.4	7800	74.2	7800	77.3	
23181	11.1	7830	74.2	7830	77.3	
23331	10.0	7860	74.2	7860	77.3	
23448	10.6	7890	74.2	7890	77.3	
23506	9.4	7920	74.2	7920	77.3	
23620	10.6	7980	74.2	7980	77.3	
23732	10.6	8010	74.2	8010	76.2	
23869	10.6	8040	73.1	8040	76.2	
24004	10.0	8100	73.1	8100	76.2	
24109	9.4	8130	73.1	8130	76.2	
24162	8.3	8160	73.1	8160	75.1	
24239	10.0	8190	73.1	8190	75.1	
24367	10.0	8250	72.0	8250	75.1	
24492	10.0	8280	72.0	8280	75.1	
24591	8.9	8310	70.9	8310	74.0	
24640	10.6	8340	70.9	8340	74.0	
24712	10.6	8401	70.9	8401	72.9	
24831	8.9	8431	70.9	8431	72.9	
24948	11.7	8461	69.8	8461	72.8	
25041	11.1	8521	69.8	8521	72.8	
25087	7.2	8551	69.8	8551	71.8	
25155	8.9	8581	68.7	8581	71.7	
25267	8.3	8611	68.7	8611	71.7	
25377	8.9	8671	71.0	8671	69.6	
25465	11.1	8701	67.6	8701	71.7	
25508	10.0	8731	67.6	8731	70.6	
25572	10.0	8761	67.6	8761	69.6	
25678	10.6	8821	67.6	8821	69.5	
25783	9.4	8851	67.6	8851	69.5	
25865	8.3	8881	66.5	8881	69.5	
25967	9.4	8941	65.4	8941	69.5	
26068	8.9	8971	65.4	8971	69.5	
26167	10.0	9001	65.4	9001	68.4	
26246	10.0	9032	65.4	9032	67.3	
26343	9.4	9092	65.4	9092	67.3	
26382	11.1	9122	63.2	9122	67.2	
26439	10.6	9152	63.1	9152	67.2	
26534	11.1	9182	63.1	9182	65.1	
26609	10.0	9242	63.1	9242	65.0	
26702	10.0	9272	62.1	9272	65.0	
26739	8.3	9302	61.0	9302	64.0	
26793	9.4	9332	60.9	9332	63.9	
26884	11.1	9392	59.9	9392	62.8	
26956	10.0	9422	59.8	9422	62.8	
27045	10.0	9452	59.8	9452	62.8	
27080	7.8	9482	59.8	9482	62.8	
27133	9.4	9542	58.8	9542	60.6	
27220	8.9	9572	57.6	9572	60.6	
27289	10.0	9602	57.6	9602	60.6	
27374	9.4	9662	57.6	9662	60.5	
27459	11.7	9692	57.6	9692	60.5	
27543	12.8	9722	56.5	9722	59.5	
27609	10.6	9753	55.4	9753	58.4	
27691	10.0	9813	55.4	9813	58.3	
27773	8.9	9843	55.4	9843	58.3	
27837	11.1	9873	55.4	9873	58.3	
27870	9.4	9903	55.4	9903	58.3	
27933	7.8	9963	54.3	9963	58.3	
27997	7.8	9993	54.3	9993	57.2	
28076	9.4	10023	54.3	10023	56.2	
28138	8.9	10053	54.3	10053	56.2	
28169	12.8	10113	54.3	10113	56.1	
28231	12.2	10143	54.3	10143	57.2	
28292	9.4	10173	54.3	10173	56.1	
28368	11.7	10233	54.3	10233	56.1	
28429	8.3	10263	54.3	10263	56.1	
28459	9.4	10293	54.3	10293	56.1	
28518	6.7	10323	54.3	10323	56.1	
28578	11.1	10384	54.3	10384	56.1	
28651	8.9	10414	53.2	10414	56.1	
28710	7.8	10444	53.2	10444	55.1	
28782	8.3	10474	53.2	10474	55.0	
28811	7.2	10534	53.2	10534	55.0	
28855	8.9	10564	53.2	10564	55.0	
28926	10.0	10594	53.2	10594	55.0	
28997	9.4	10624	53.2	10624	56.1	
29053	9.4	10684	53.2	10684	56.1	
29081	7.8	10714	53.2	10714	56.1	
29123	8.9	10744	53.2	10744	56.1	
29193	12.2	10804	54.3	10804	56.2	
29261	7.2	10834	54.3	10834	56.1	
29316	7.8	10864	54.3	10864	56.2	
29344	10.6	10894	54.3	10894	56.2	
29384	9.4	10954	54.3	10954	57.2	
29452	9.4	10984	54.3	10984	57.2	
29519	10.6	11015	54.3	11015	57.2	
29572	9.4	11045	54.3	11045	57.2	
29599	9.4	11105	54.3	11105	57.2	
29638	9.4	11135	54.3	11135	56.1	
29704	10.6	11165	53.2	11165	56.1	
29769	9.4	11195	53.2	11195	56.1	
29821	10.0	11255	53.2	11255	56.1	
29886	11.7	11285	53.2	11285	56.1	
29950	8.9	11315	53.2	11315	55.0	
30013	10.6	11375	53.2	11375	55.0	
30064	11.1	11405	52.1	11405	55.0	
30127	9.4	11435	52.1	11435	55.0	
30189	9.4	11465	51.0	11465	53.9	
30251	8.3	11525	51.0	11525	53.9	
30300	8.9	11555	51.0	11555	52.8	
30362	11.1	11585	51.0	11585	52.7	
30386	9.4	11615	49.9	11615	52.7	
30423	8.3	11675	49.9	11675	52.7	
30483	8.9	11705	49.9	11705	52.7	
30532	8.9	11736	48.8	11736	51.7	
30591	8.9	11766	48.8	11766	50.6	
30615	11.1	11826	47.7	11826	50.5	
30651	10.0	11856	47.7	11856	50.5	
30711	10.0	11886	47.7	11886	50.5	
30758	9.4	11916	47.7	11916	50.5	
30816	10.0	11976	46.6	11976	50.5	
30875	12.8	12006	46.6	12006	50.5	
30921	10.0	12036	46.6	12036	50.5	
30944	11.7	12096	46.6	12096	48.4	
30990	10.6	12126	46.6	12126	49.4	
31036	7.8	12156	46.6	12156	48.3	
31093	8.3	12186	46.6	12186	48.3	
31138	11.7	12246	46.6	12246	48.3	
31161	11.1	12276	45.5	12276	48.3	
31206	7.8	12306	45.5	12306	48.3	
31251	7.2	12336	45.5	12336	48.3	
31307	7.8	12397	45.5	12397	48.3	
31351	9.4	12427	45.5	12427	48.3	
31373	11.1	12457	45.5	12457	48.3	
31417	11.7	12517	45.5	12517	47.2	
31461	8.9	12547	44.4	12547	46.1	
31516	10.6	12577	44.4	12577	46.1	
31560	11.1	12607	43.3	12607	46.1	
31581	6.7	12667	43.3	12667	46.1	
31625	9.4	12697	43.3	12697	46.0	
31668	8.3	12727	43.3	12727	46.0	
31722	10.0	12757	43.3	12757	46.0	
31775	10.6	12817	43.3	12817	46.0	
31817	8.9	12847	43.3	12847	43.9	
31839	7.8	12877	42.2	12877	43.9	
31870	10.0	12937	42.2	12937	43.8	
31923	8.3	12967	41.1	12967	43.8	
31975	10.0	12997	41.1	12997	43.8	
32017	7.2	13027	41.1	13027	43.8	
32038	9.4	13058	41.1	13058	43.8	
32069	10.0	13118	40.0	13118	41.6	
32121	10.0	13148	38.9	13148	41.6	
32172	10.0	13178	38.9	13178	41.6	
32213	7.8	13238	38.9	13238	41.6	
32233	13.3	13268	38.9	13268	41.6	
32264	11.1	13298	38.9	13298	41.6	
32315	9.4	13328	38.9	13328	41.6	
32365	10.6	13388	37.8	13388	40.5	
32405	10.6	13418	37.8	13418	39.4	
		13448	36.7	13448	39.4	
		13508	36.7	13508	39.4	
		13538	36.7	13538	39.3	
		13568	36.7	13568	39.3	
		13598	36.7	13598	39.3	
		13658	36.7	13658	39.3	
		13688	36.7	13688	39.3	
		13718	36.7	13718	39.3	
		13749	36.7	13749	39.3	
		13809	36.7	13809	38.3	
		13839	35.6	13839	38.3	
		13869	36.7	13869	39.3	
		13899	35.5	13899	39.3	
		13959	35.6	13959	39.3	
		13989	36.7	13989	38.3	
		14019	35.5	14019	38.3	
		14079	35.5	14079	38.3	
		14109	35.5	14109	38.3	
		14139	35.6	14139	38.2	
		14169	35.6	14169	37.2	
		14199	35.5	14199	37.2	
		14259	35.6	14259	37.2	
		14289	35.5	14289	37.2	
		14319	35.5	14319	37.2	
		14379	35.5	14379	37.2	
		14410	35.5	14410	37.2	
		14440	35.5	14440	37.2	
		14470	35.5	14470	37.1	
		14530	35.5	14530	37.1	
		14560	35.5	14560	37.1	
		14590	35.5	14590	37.1	
		14620	35.5	14620	37.1	
		14680	35.5	14680	37.1	
		14710	34.5	14710	37.1	
		14740	34.4	14740	37.1	
		14770	34.4	14770	37.1	
		14830	33.3	14830	37.1	
		14860	33.3	14860	36.0	
		14890	33.4	14890	36.0	
		14950	33.3	14950	36.0	
		14980	32.3	14980	34.9	
		15010	32.3	15010	36.0	
		15040	32.2	15040	34.9	
		15101	32.2	15101	34.9	
		15131	32.2	15131	34.9	
		15161	32.2	15161	34.9	
		15221	32.2	15221	34.9	
		15251	32.2	15251	34.9	
		15281	32.2	15281	34.9	
		15311	31.1	15311	34.9	
		15371	32.2	15371	33.8	
		15401	31.1	15401	33.8	
		15431	31.1	15431	33.7	
		15461	31.1	15461	32.7	
		15521	31.1	15521	32.6	
		15551	30.0	15551	32.6	
		15581	28.9	15581	32.6	
		15611	30.0	15611	32.6	
		15671	28.9	15671	32.6	
		15701	28.9	15701	30.5	
		15731	28.9	15731	30.4	
		15791	28.9	15791	30.4	
		15821	28.9	15821	30.4	
		15852	28.9	15852	30.4	
		15882	27.8	15882	30.4	
		15942	26.7	15942	30.4	
		15972	26.7	15972	30.4	
		16002	26.7	16002	30.4	
		16032	26.7	16032	30.4	
		16092	26.7	16092	29.3	
		16122	26.7	16122	29.3	
		16152	26.7	16152	28.2	
		16182	26.7	16182	28.2	
		16242	26.7	16242	28.2	
		16272	26.7	16272	28.2	
		16302	26.7	16302	28.2	
		16332	26.7	16332	28.2	
		16392	26.7	16392	28.2	
		16422	25.6	16422	28.1	
		16452	25.6	16452	28.1	
		16512	24.5	16512	28.1	
		16542	24.5	16542	28.1	
		16572	25.6	16572	28.1	
		16602	24.5	16602	28.1	
		16663	24.5	16663	28.1	
		16693	24.5	16693	28.1	
		16723	24.5	16723	28.1	
		16753	24.5	16753	28.1	
		16813	23.4	16813	27.1	
		16843	24.5	16843	27.0	
		16873	24.5	16873	27.0	
		16903	24.5	16903	26.0	
		16963	23.4	16963	26.0	
		16993	23.4	16993	25.9	
		17023	23.4	17023	26.0	
		17083	23.4	17083	25.9	
		17113	23.4	17113	25.9	
		17143	23.4	17143	25.9	
		17173	23.4	17173	27.0	
		17233	23.4	17233	27.0	
		17263	23.4	17263	27.0	
		17293	23.4	17293	26.0	
		17323	23.4	17323	25.9	
		17383	22.3	17383	25.9	
		17413	23.4	17413	24.8	
		17443	22.3	17443	23.8	
		17473	22.3	17473	24.9	
		17534	22.3	17534	23.8	
		17564	22.3	17564	23.8	
		17594	22.3	17594	23.8	
		17654	22.3	17654	23.8	
		17684	22.3	17684	23.7	
		17714	22.3	17714	23.7	
		17744	23.4	17744	23.7	
		17804	22.3	17804	23.7	
		17834	22.3	17834	23.7	
		17864	22.3	17864	23.7	
		17924	22.3	17924	24.8	
		17954	22.3	17954	24.8	
		17984	22.3	17984	24.8	
		18014	21.2	18014	24.8	
		18044	22.3	18044	24.8	
		18104	21.2	18104	24.8	
		18134	22.3	18134	24.8	
		18165	21.2	18165	23.8	
		18225	21.2	18225	23.7	
		18255	21.2	18255	23.7	
		18285	21.2	18285	22.7	
		18315	21.2	18315	22.7	
		18375	21.2	18375	22.7	
		18405	21.2	18405	22.6	
		18435	21.2	18435	22.6	
		18465	21.2	18465	22.6	
		18525	21.2	18525	22.6	
		18555	21.2	18555	22.6	
		18585	21.2	18585	22.6	
		18615	21.2	18615	22.6	
		18675	21.2	18675	22.6	
		18705	21.2	18705	22.6	
		18735	20.1	18735	22.6	
		18795	21.2	18795	22.6	
		18826	21.2	18826	22.6	
		18856	20.1	18856	22.6	
		18886	21.2	18886	22.6	
		18946	20.1	18946	22.6	
		18976	21.2	18976	22.6	
		19006	21.2	19006	22.6	
		19036	21.2	19036	22.6	
		19096	21.2	19096	22.6	
		19126	21.2	19126	23.7	
		19156	21.2	19156	22.6	
		19186	20.1	19186	22.6	
		19246	21.2	19246	23.7	
		19276	20.1	19276	23.7	
		19306	21.2	19306	23.7	
		19366	21.2	19366	23.7	
		19396	20.1	19396	23.7	
		19426	20.1	19426	22.6	
		19456	20.1	19456	22.6	
		19516	21.2	19516	21.5	
		19547	21.2	19547	22.6	
		19577	22.3	19577	22.7	
		19607	22.3	19607	23.8	
		19667	22.3	19667	24.8	
		19697	22.3	19697	24.8	
		19727	22.3	19727	24.8	
		19757	22.3	19757	23.8	
		19817	22.3	19817	24.8	
		19847	23.4	19847	26.0	
		19877	23.4	19877	26.0	
		19907	23.4	19907	24.9	
		19967	24.5	19967	27.0	
		19997	24.5	19997	27.0	
		20027	24.5	20027	27.0	
		20087	25.6	20087	27.1	
		20117	25.6	20117	28.2	
		20147	26.7	20147	29.3	
		20177	26.7	20177	29.3	
		20237	26.7	20237	29.3	
		20268	27.8	20268	29.4	
		20298	28.9	20298	31.5	
		20358	28.9	20358	31.5	
		20388	28.9	20388	31.5	
		20418	30.0	20418	31.6	
		20448	31.1	20448	33.7	
		20508	31.1	20508	33.7	
		20538	32.2	20538	33.8	
		20568	33.3	20568	36.0	
		20598	33.4	20598	36.0	
		20658	34.4	20658	36.0	
		20688	34.4	20688	37.1	
		20718	35.6	20718	38.2	
		20748	35.6	20748	38.2	
		20808	36.7	20808	38.3	
		20838	36.7	20838	39.4	
