Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		32467	128.3	32467	130.9	
		32437	128.3	32437	131.0	
		32406	128.3	32406	131.0	
		32376	128.3	32376	132.0	
		32346	127.2	32346	130.9	
		32316	127.2	32316	129.8	
		32286	127.2	32286	129.8	
		32226	126.1	32226	128.8	
		32196	126.1	32196	129.8	
		32166	126.1	32166	128.7	
		32106	125.0	32106	128.7	
		32076	125.0	32076	127.6	
		32046	123.9	32046	127.6	
		32016	123.9	32016	126.5	
		31956	122.8	31956	126.5	
		31925	122.8	31925	126.4	
		31895	122.8	31895	126.4	
		31865	122.8	31865	125.3	
		31835	121.7	31835	124.3	
		31775	121.7	31775	124.3	
		31745	121.7	31745	124.3	
		31715	120.6	31715	123.1	
		31655	120.6	31655	124.2	
		31625	119.5	31625	123.1	
		31595	119.5	31595	123.1	
		31535	119.5	31535	122.0	
		31505	119.5	31505	122.0	
		31475	118.4	31475	122.0	
		31444	118.3	31444	120.9	
		31414	118.3	31414	120.9	
		31354	117.2	31354	119.8	
		31324	117.2	31324	119.8	
		31294	116.2	31294	119.7	
		31234	117.2	31234	119.7	
		31204	116.1	31204	118.6	
		31174	115.0	31174	118.7	
		31144	115.1	31144	117.6	
		31084	115.0	31084	118.6	
		31054	115.0	31054	118.6	
		31024	115.0	31024	117.5	
		30994	113.9	30994	117.5	
		30933	113.9	30933	116.4	
		30903	113.9	30903	116.4	
		30873	112.8	30873	115.3	
		30813	111.7	30813	115.3	
		30783	111.7	30783	115.3	
		30753	111.7	30753	115.3	
		30723	111.7	30723	114.2	
		30693	111.7	30693	114.2	
		30633	110.6	30633	114.2	
		30603	110.6	30603	113.1	
		30573	109.5	30573	113.0	
		30513	109.5	30513	113.0	
		30482	109.5	30482	113.0	
		30452	109.5	30452	112.0	
		30392	109.5	30392	111.9	
		30362	108.4	30362	111.9	
		30332	107.3	30332	111.9	
		30302	107.3	30302	110.8	
		30242	107.3	30242	110.8	
		30212	107.3	30212	110.8	
		30182	107.3	30182	109.7	
		30152	107.3	30152	109.7	
		30092	107.3	30092	109.7	
		30062	106.2	30062	109.7	
		30032	106.2	30032	109.7	
		30001	106.2	30001	108.6	
		29941	105.1	29941	108.6	
		29911	105.1	29911	108.6	
		29881	104.0	29881	107.5	
		29821	104.0	29821	106.4	
		29791	104.0	29791	106.4	
		29761	104.0	29761	106.3	
		29731	101.8	29731	106.3	
		29671	102.9	29671	105.3	
		29641	101.8	29641	105.2	
		29611	101.8	29611	105.2	
		29581	101.8	29581	105.2	
		29520	100.7	29520	104.1	
		29490	100.7	29490	103.1	
		29460	100.7	29460	103.0	
		29430	100.7	29430	103.1	
		29370	99.6	29370	102.0	
		29340	99.6	29340	101.9	
