Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		22656	128.3	22656	131.1	
		22626	128.3	22626	131.1	
		22596	128.3	22596	131.1	
		22566	128.3	22566	132.0	
		22536	127.2	22536	131.0	
		22506	127.2	22506	129.9	
		22476	126.1	22476	129.9	
		22446	126.1	22446	128.8	
		22416	125.0	22416	129.8	
		22386	125.0	22386	128.7	
		22356	125.0	22356	126.6	
		22296	123.9	22296	126.5	
		22266	123.9	22266	126.5	
		22236	122.8	22236	126.4	
		22206	121.7	22206	125.4	
		22146	121.7	22146	125.4	
		22116	121.7	22116	124.3	
		22086	120.6	22086	123.2	
		22056	120.6	22056	123.2	
		21996	119.5	21996	122.1	
		21966	118.4	21966	123.1	
		21936	119.5	21936	122.0	
		21876	118.4	21876	122.0	
		21846	117.3	21846	122.0	
		21816	117.3	21816	119.9	
		21786	117.2	21786	119.8	
		21726	117.2	21726	119.8	
		21696	116.2	21696	118.7	
		21666	116.2	21666	117.6	
		21636	115.1	21636	118.6	
		21576	115.0	21576	117.6	
		21546	113.9	21546	116.5	
		21516	112.9	21516	116.4	
		21456	112.8	21456	115.4	
		21426	111.8	21426	114.3	
		21396	111.8	21396	114.2	
		21366	110.6	21366	113.2	
		21336	109.6	21336	112.1	
		21276	109.5	21276	112.0	
		21246	108.5	21246	110.9	
		21216	108.4	21216	109.8	
		21156	107.3	21156	110.8	
		21126	106.2	21126	109.7	
		21096	106.2	21096	108.7	
		21066	105.1	21066	108.6	
		21006	105.1	21006	108.6	
		20976	105.1	20976	107.5	
		20946	102.9	20946	106.4	
		20916	102.9	20916	106.4	
		20856	102.9	20856	106.3	
		20826	102.9	20826	105.3	
		20796	101.8	20796	105.3	
		20766	101.8	20766	105.2	
		20706	101.8	20706	105.2	
		20676	101.8	20676	104.1	
		20646	100.7	20646	104.1	
		20586	100.7	20586	103.1	
		20556	99.6	20556	103.0	
		20526	99.6	20526	103.0	
		20495	98.6	20495	101.9	
		20435	98.5	20435	101.9	
		20405	98.5	20405	100.8	
		20375	97.4	20375	100.8	
		20345	97.4	20345	99.7	
		20285	96.3	20285	99.7	
		20255	96.3	20255	99.6	
		20225	95.2	20225	98.6	
		20195	95.2	20195	97.6	
		20135	94.1	20135	98.5	
		20105	95.2	20105	97.5	
		20075	95.2	20075	96.4	
		20015	94.1	20015	96.4	
		19985	94.1	19985	96.4	
		19955	94.1	19955	96.3	
		19925	93.0	19925	96.3	
		19865	91.9	19865	95.2	
		19835	91.9	19835	95.2	
		19805	91.9	19805	95.2	
		19775	91.9	19775	94.1	
		19715	90.8	19715	93.1	
		19685	90.8	19685	93.0	
		19655	90.7	19655	93.0	
		19595	89.6	19595	92.0	
		19565	89.6	19565	91.9	
		19535	88.6	19535	91.8	
		19505	87.4	19505	89.7	
		19445	87.4	19445	89.6	
		19415	86.4	19415	88.6	
		19385	85.2	19385	88.5	
		19355	85.2	19355	87.4	
		19295	84.1	19295	86.3	
		19265	83.0	19265	85.2	
		19235	83.0	19235	85.2	
		19205	81.9	19205	85.1	
		19145	80.8	19145	83.0	
		19115	80.8	19115	83.0	
		19085	79.7	19085	82.9	
		19025	79.7	19025	81.9	
		18995	78.6	18995	81.8	
		18965	78.6	18965	81.8	
		18935	78.6	18935	81.8	
		18875	77.5	18875	80.8	
		18845	77.5	18845	80.7	
		18815	77.5	18815	79.6	
		18785	77.5	18785	80.7	
		18725	77.5	18725	79.6	
		18695	77.5	18695	79.6	
		18665	76.4	18665	78.5	
		18635	75.3	18635	78.5	
		18575	75.3	18575	78.4	
		18545	75.3	18545	77.4	
		18515	74.2	18515	77.4	
		18485	74.2	18485	76.3	
		18425	74.2	18425	76.3	
		18395	73.1	18395	76.3	
		18365	73.1	18365	76.2	
		18305	73.1	18305	76.2	
		18275	73.1	18275	76.2	
		18245	73.1	18245	75.1	
		18215	72.0	18215	74.1	
		18155	70.9	18155	74.0	
		18125	70.9	18125	74.0	
		18095	70.9	18095	74.0	
		18065	70.9	18065	72.9	
		18005	70.9	18005	72.9	
		17975	70.9	17975	71.8	
		17945	69.8	17945	71.8	
		17885	68.7	17885	71.8	
		17855	68.7	17855	71.8	
		17825	68.7	17825	70.7	
		17795	68.7	17795	70.7	
		17735	67.6	17735	70.6	
		17705	67.6	17705	70.6	
		17675	67.6	17675	69.6	
		17645	67.6	17645	69.6	
		17585	67.6	17585	69.5	
		17555	66.5	17555	69.5	
		17525	66.5	17525	69.5	
		17495	66.5	17495	68.4	
		17435	65.4	17435	68.4	
		17405	64.3	17405	67.3	
		17375	64.3	17375	67.3	
		17315	64.3	17315	66.3	
		17285	64.3	17285	66.2	
		17255	63.2	17255	65.1	
		17225	62.1	17225	65.1	
		17165	62.0	17165	64.0	
		17135	61.0	17135	64.0	
		17105	60.9	17105	62.9	
		17075	59.8	17075	62.8	
		17015	59.8	17015	61.7	
		16985	58.7	16985	60.7	
		16954	57.7	16954	60.6	
		16924	57.6	16924	59.5	
		16864	56.5	16864	59.5	
		16834	56.5	16834	58.4	
		16804	55.4	16804	57.3	
		16744	54.3	16744	57.3	
		16714	54.3	16714	56.2	
		16684	53.2	16684	56.1	
		16654	53.2	16654	55.0	
		16594	52.1	16594	54.0	
		16564	52.1	16564	53.9	
		16534	51.0	16534	52.9	
		16504	51.0	16504	52.8	
		16444	49.9	16444	52.8	
		16414	49.9	16414	51.7	
		16384	49.9	16384	52.7	
		16354	49.9	16354	51.7	
		16294	48.8	16294	50.6	
		16264	48.8	16264	50.6	
		16234	48.8	16234	50.6	
		16174	48.8	16174	50.6	
		16144	48.8	16144	50.6	
		16114	48.8	16114	50.6	
		16084	47.7	16084	50.6	
		16024	48.8	16024	50.6	
		15994	47.7	15994	50.6	
		15964	48.8	15964	50.6	
		15934	48.8	15934	50.6	
		15874	48.8	15874	50.6	
		15844	48.8	15844	50.6	
		15814	48.8	15814	50.6	
		15784	48.8	15784	50.6	
		15724	48.8	15724	50.6	
		15694	47.7	15694	50.5	
		15664	48.8	15664	50.5	
		15604	47.7	15604	50.5	
		15574	47.7	15574	50.6	
		15544	47.7	15544	49.5	
		15514	47.7	15514	50.5	
		15454	47.7	15454	49.4	
		15424	47.7	15424	49.4	
		15394	46.6	15394	49.4	
		15364	46.6	15364	49.4	
		15304	45.5	15304	48.3	
		15274	45.5	15274	48.3	
		15244	45.5	15244	47.2	
		15214	45.5	15214	47.2	
		15154	44.4	15154	46.1	
		15124	43.3	15124	46.1	
		15094	43.3	15094	46.0	
		15034	43.3	15034	45.0	
		15004	42.2	15004	43.9	
		14974	41.1	14974	43.8	
		14944	41.1	14944	43.8	
		14884	40.0	14884	41.7	
		14854	40.0	14854	41.6	
		14824	38.9	14824	41.6	
		14794	38.9	14794	39.4	
		14734	37.8	14734	39.4	
		14704	36.7	14704	39.3	
		14674	36.7	14674	38.2	
		14644	35.6	14644	38.2	
		14584	35.5	14584	38.2	
		14554	35.5	14554	36.1	
		14524	34.4	14524	36.0	
		14494	33.3	14494	36.0	
		14434	32.3	14434	34.9	
		14404	32.2	14404	33.8	
		14374	32.2	14374	33.8	
		14314	31.2	14314	33.7	
		14284	31.2	14284	33.7	
		14254	30.0	14254	32.7	
		14224	30.0	14224	32.6	
		14164	30.0	14164	31.5	
		14134	30.0	14134	30.5	
		14104	28.9	14104	30.4	
		14044	28.9	14044	30.4	
		14014	28.9	14014	30.4	
		13984	27.8	13984	30.4	
		13954	27.8	13954	28.3	
		13923	26.7	13923	28.3	
		13863	26.7	13863	28.2	
		13833	26.7	13833	28.2	
		13803	26.7	13803	28.2	
		13743	26.7	13743	27.1	
		13713	25.6	13713	27.1	
		13683	25.6	13683	26.0	
		13653	24.5	13653	26.0	
		13593	24.5	13593	26.0	
		13563	24.5	13563	27.1	
		13533	24.5	13533	26.0	
		13503	24.5	13503	26.0	
		13443	24.5	13443	24.9	
		13413	23.4	13413	23.8	
		13383	23.4	13383	25.9	
		13353	23.4	13353	25.9	
		13293	23.4	13293	25.9	
		13263	23.4	13263	25.9	
		13233	23.4	13233	25.9	
		13173	23.4	13173	25.9	
		13143	23.4	13143	25.9	
		13113	23.4	13113	23.8	
		13083	23.4	13083	23.8	
		13023	23.4	13023	23.7	
		12993	23.4	12993	23.7	
		12963	23.4	12963	22.7	
		12933	22.3	12933	23.7	
		12873	23.4	12873	22.7	
		12843	23.4	12843	22.6	
		12813	23.4	12813	22.6	
		12783	23.4	12783	22.6	
		12723	23.4	12723	22.6	
		12693	23.4	12693	23.7	
		12663	23.4	12663	23.7	
		12603	23.4	12603	23.7	
		12573	23.4	12573	23.7	
		12543	23.4	12543	23.8	
		12513	23.4	12513	23.9	
		12453	23.4	12453	23.8	
		12423	23.4	12423	24.9	
		12393	23.4	12393	25.9	
		12363	23.4	12363	25.9	
		12303	23.4	12303	25.9	
		12273	23.4	12273	25.9	
		12243	24.5	12243	25.9	
		12183	24.5	12183	25.9	
		12153	24.5	12153	24.9	
		12123	24.5	12123	24.9	
		12093	24.5	12093	25.9	
		12033	24.5	12033	26.0	
		12003	24.5	12003	26.0	
		11973	25.6	11973	26.0	
		11943	25.6	11943	27.1	
		11883	25.6	11883	27.1	
		11853	25.6	11853	27.1	
		11823	25.6	11823	26.0	
		11793	25.6	11793	26.0	
		11733	25.6	11733	26.0	
		11703	25.6	11703	26.0	
		11673	25.6	11673	28.2	
		11613	25.6	11613	28.2	
		11583	25.6	11583	28.2	
		11553	25.6	11553	28.2	
		11523	25.6	11523	28.2	
		11462	26.7	11462	28.2	
		11432	26.7	11432	28.2	
		11402	26.7	11402	28.2	
		11372	26.7	11372	28.3	
		11312	26.7	11312	28.3	
		11282	27.8	11282	29.3	
		11252	26.7	11252	29.3	
		11222	27.8	11222	29.3	
		11162	27.8	11162	29.3	
		11132	27.8	11132	30.4	
		11102	27.8	11102	29.4	
		11042	27.8	11042	29.4	
		11012	27.8	11012	30.4	
		10982	27.8	10982	30.4	
		10952	27.8	10952	30.4	
		10922	28.9	10922	30.4	
		10862	28.9	10862	30.4	
		10832	28.9	10832	30.4	
		10802	28.9	10802	30.5	
		10742	28.9	10742	31.5	
		10712	28.9	10712	31.5	
		10682	28.9	10682	31.6	
		10652	28.9	10652	31.5	
		10592	30.0	10592	31.5	
		10562	30.0	10562	31.6	
		10532	30.0	10532	31.6	
		10472	30.0	10472	32.6	
		10442	30.0	10442	31.6	
		10412	30.0	10412	31.6	
		10382	30.0	10382	31.6	
		10322	30.0	10322	31.6	
		10292	30.0	10292	32.6	
		10262	30.0	10262	32.6	
		10232	31.1	10232	32.6	
		10172	31.1	10172	32.6	
		10142	31.1	10142	32.6	
		10112	31.1	10112	32.7	
		10082	31.1	10082	33.7	
		10022	31.1	10022	32.7	
		9992	31.1	9992	33.7	
		9962	31.1	9962	33.7	
		9902	31.1	9902	33.8	
		9872	31.1	9872	33.8	
		9842	31.1	9842	33.8	
		9812	31.1	9812	33.8	
		9752	32.2	9752	33.8	
		9722	31.2	9722	33.8	
		9692	33.3	9692	34.9	
		9662	33.3	9662	34.9	
		9602	33.3	9602	36.0	
		9572	33.3	9572	36.0	
		9542	33.3	9542	36.0	
		9512	33.3	9512	36.0	
		9452	33.3	9452	36.0	
		9422	33.4	9422	36.0	
		9392	34.4	9392	36.1	
		9362	34.5	9362	36.1	
		9302	34.5	9302	36.1	
		9272	34.5	9272	38.2	
		9242	34.5	9242	38.2	
		9182	35.6	9182	38.2	
		9152	35.6	9152	38.2	
		9122	35.6	9122	38.2	
		9092	35.6	9092	38.3	
		9032	37.8	9032	38.3	
		9002	36.7	9002	39.4	
		8972	36.7	8972	39.4	
		8942	37.8	8942	39.4	
		8882	38.9	8882	40.5	
		8852	37.8	8852	40.5	
		8821	38.9	8821	40.5	
		8761	38.9	8761	40.5	
		8731	40.0	8731	41.6	
		8701	40.0	8701	41.6	
		8671	40.0	8671	41.6	
		8611	40.0	8611	41.6	
		8581	40.0	8581	42.7	
		8551	40.0	8551	42.7	
		8521	40.0	8521	43.8	
		8461	41.1	8461	43.8	
		8431	41.1	8431	43.8	
		8401	41.1	8401	43.8	
		8371	42.2	8371	43.9	
		8311	42.2	8311	43.9	
		8281	42.2	8281	44.9	
		8251	42.2	8251	44.9	
		8221	43.3	8221	45.0	
		8161	43.3	8161	45.0	
		8131	43.3	8131	45.0	
		8101	43.3	8101	46.1	
		8041	44.4	8041	46.1	
		8011	44.4	8011	47.1	
		7981	44.4	7981	47.2	
		7951	44.4	7951	47.2	
		7891	44.4	7891	47.2	
		7861	45.5	7861	47.2	
		7831	45.5	7831	47.3	
		7771	46.6	7771	48.3	
		7741	46.6	7741	49.4	
		7711	46.6	7711	49.4	
		7681	46.6	7681	49.4	
		7621	46.6	7621	49.4	
		7591	47.7	7591	49.5	
		7561	47.7	7561	49.5	
		7531	48.8	7531	50.6	
		7471	48.8	7471	50.6	
		7441	48.8	7441	51.6	
