Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		13854	48.8	13854	51.6	
		13824	48.8	13824	50.5	
		13764	48.8	13764	49.4	
		13734	47.7	13734	49.4	
		13704	46.6	13704	49.4	
		13673	45.5	13673	47.2	
		13613	45.5	13613	47.2	
		13583	44.4	13583	46.1	
		13553	43.3	13553	44.9	
		13523	43.3	13523	44.9	
		13463	41.1	13463	43.8	
		13433	41.1	13433	42.7	
		13403	41.1	13403	41.6	
		13343	38.9	13343	40.5	
		13313	38.9	13313	40.4	
		13283	36.7	13283	39.4	
		13253	36.7	13253	38.2	
		13193	36.7	13193	38.2	
		13163	34.5	13163	37.1	
		13133	34.4	13133	36.0	
		13103	33.4	13103	36.0	
		13043	32.2	13043	34.9	
		13013	32.2	13013	33.8	
		12983	31.2	12983	32.7	
		12953	30.0	12953	32.6	
		12893	30.0	12893	31.5	
		12863	30.0	12863	31.5	
		12833	27.8	12833	30.4	
		12803	27.8	12803	30.4	
		12743	27.8	12743	29.3	
		12713	26.7	12713	29.3	
		12683	26.7	12683	29.3	
		12623	26.7	12623	27.2	
		12593	25.6	12593	27.1	
		12563	25.6	12563	27.1	
		12503	24.5	12503	26.0	
		12473	24.5	12473	27.0	
		12443	23.4	12443	27.0	
		12413	23.4	12413	27.0	
		12383	23.4	12383	24.8	
		12323	22.3	12323	24.8	
		12293	22.3	12293	24.8	
		12262	22.3	12262	24.8	
		12202	22.3	12202	23.7	
		12172	22.3	12172	22.6	
		12142	22.3	12142	22.6	
		12112	21.2	12112	22.6	
		12052	21.2	12052	23.7	
		12022	21.2	12022	24.8	
		11992	21.2	11992	7.1	
		11962	20.1	11962	21.7	
		11902	20.1	11902	20.7	
		11872	20.1	11872	20.6	
		11842	20.1	11842	20.5	
		11812	20.1	11812	20.4	
		11752	20.1	11752	20.4	
		11722	20.1	11722	20.4	
		11692	20.1	11692	20.4	
		11632	20.1	11632	20.5	
		11602	20.1	11602	20.5	
		11572	20.1	11572	20.7	
		11542	21.2	11542	21.6	
		11482	21.2	11482	21.6	
		11452	21.2	11452	14.5	
		11422	21.2	11422	1.0	
		11392	21.2	11392	23.7	
		11332	21.2	11332	23.7	
		11302	21.2	11302	23.7	
		11272	21.2	11272	23.7	
		11242	21.2	11242	23.7	
		11182	21.2	11182	22.6	
		11152	21.2	11152	22.7	
		11122	22.3	11122	22.9	
		11092	22.3	11092	22.8	
		11031	22.3	11031	24.8	
		11001	22.3	11001	25.9	
		10971	22.3	10971	25.9	
		10911	22.3	10911	25.9	
		10881	22.3	10881	24.8	
		10851	22.3	10851	23.7	
		10821	23.4	10821	23.7	
		10761	23.4	10761	23.8	
		10731	23.4	10731	23.8	
		10701	23.4	10701	24.8	
		10671	23.4	10671	24.9	
		10611	23.4	10611	25.9	
		10581	23.4	10581	25.9	
		10551	23.4	10551	25.9	
		10491	23.4	10491	25.9	
		10461	23.4	10461	25.9	
		10431	24.5	10431	25.9	
		10401	24.5	10401	26.0	
		10341	24.5	10341	27.0	
		10311	24.5	10311	27.0	
		10281	24.5	10281	27.0	
		10251	24.5	10251	27.1	
		10191	25.6	10191	27.1	
		10161	25.6	10161	27.1	
		10131	25.6	10131	28.2	
		10071	25.6	10071	28.2	
		10041	25.6	10041	28.2	
		10011	25.6	10011	29.3	
		9981	26.7	9981	29.3	
		9921	26.7	9921	29.3	
		9891	26.7	9891	29.3	
		9861	26.7	9861	30.4	
		9830	26.7	9830	30.4	
		9770	27.8	9770	30.4	
		9740	28.9	9740	30.4	
		9710	28.9	9710	30.4	
		9680	28.9	9680	30.4	
		9620	28.9	9620	31.5	
		9590	28.9	9590	31.6	
		9560	28.9	9560	32.6	
		9500	30.0	9500	32.6	
		9470	30.0	9470	32.6	
		9440	30.0	9440	32.6	
		9410	30.0	9410	32.6	
		9380	30.0	9380	32.6	
		9320	30.0	9320	32.6	
		9290	31.1	9290	32.6	
		9260	31.1	9260	32.6	
		9200	31.1	9200	32.7	
		9170	31.1	9170	32.6	
		9140	31.1	9140	32.6	
		9110	31.1	9110	32.7	
		9050	31.1	9050	32.7	
		9020	31.1	9020	32.7	
		8990	31.1	8990	32.7	
		8930	31.1	8930	33.8	
		8900	31.1	8900	33.8	
		8870	31.1	8870	33.8	
		8840	31.1	8840	33.8	
		8780	31.1	8780	33.8	
		8750	31.1	8750	34.9	
		8720	32.2	8720	34.9	
		8690	32.2	8690	34.9	
		8630	32.2	8630	34.9	
		8600	32.2	8600	34.9	
		8570	32.2	8570	34.9	
		8540	32.2	8540	34.9	
		8480	32.3	8480	34.9	
		8450	33.3	8450	34.9	
		8420	33.3	8420	34.9	
		8359	33.3	8359	36.0	
		8329	33.3	8329	36.0	
		8299	33.4	8299	37.1	
		8269	34.4	8269	36.0	
		8239	34.4	8239	36.0	
		8179	34.4	8179	37.1	
		8149	34.4	8149	37.1	
		8119	34.4	8119	37.1	
		8059	34.4	8059	37.1	
		8029	34.5	8029	37.1	
