Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		12242	43.3	12242	45.0	
		12182	42.2	12182	44.9	
		12152	42.2	12152	43.9	
		12122	42.2	12122	43.8	
		12062	40.0	12062	43.8	
		12032	40.0	12032	42.7	
		12002	40.0	12002	41.6	
		11972	38.9	11972	41.6	
		11912	38.9	11912	41.6	
		11882	38.9	11882	40.5	
		11852	37.8	11852	39.4	
		11792	36.7	11792	39.3	
		11762	36.7	11762	39.3	
		11732	35.6	11732	39.3	
		11702	35.6	11702	37.2	
		11642	35.5	11642	37.2	
		11612	35.5	11612	37.1	
		11582	33.4	11582	37.1	
		11552	33.3	11552	36.0	
		11492	33.3	11492	36.0	
		11462	33.3	11462	36.0	
		11432	33.3	11432	36.0	
		11402	32.3	11402	33.8	
		11342	31.1	11342	33.8	
		11312	31.1	11312	33.7	
		11282	31.1	11282	33.7	
		11222	31.1	11222	33.7	
		11192	30.0	11192	32.6	
		11162	30.0	11162	32.6	
		11132	29.0	11132	31.6	
		11072	28.9	11072	30.5	
		11042	27.8	11042	30.4	
		11012	27.8	11012	30.4	
		10982	27.8	10982	30.4	
		10922	27.8	10922	30.4	
		10892	27.8	10892	30.4	
		10862	27.8	10862	29.3	
		10832	26.7	10832	29.3	
		10772	26.7	10772	29.3	
		10742	26.7	10742	29.3	
		10712	25.6	10712	28.2	
		10682	25.6	10682	28.2	
		10622	25.6	10622	28.2	
		10592	25.6	10592	28.2	
		10562	25.6	10562	27.1	
		10532	24.5	10532	28.2	
		10472	24.5	10472	28.1	
		10442	24.5	10442	28.1	
		10412	24.5	10412	28.1	
		10352	24.5	10352	26.0	
		10322	23.4	10322	26.0	
		10292	24.5	10292	25.9	
		10262	24.5	10262	25.9	
		10202	24.5	10202	25.9	
		10172	24.5	10172	25.9	
		10142	24.5	10142	25.9	
		10082	24.5	10082	25.9	
		10052	24.5	10052	25.9	
		10022	24.5	10022	25.9	
		9992	23.4	9992	25.9	
		9932	23.4	9932	25.9	
		9902	23.4	9902	25.9	
		9872	23.4	9872	27.0	
		9842	23.4	9842	25.9	
		9782	23.4	9782	25.9	
		9752	23.4	9752	25.9	
		9722	23.4	9722	25.9	
		9692	23.4	9692	25.9	
		9632	23.4	9632	25.9	
		9602	23.4	9602	25.9	
		9572	23.4	9572	26.0	
		9542	23.4	9542	26.0	
		9482	23.4	9482	26.0	
		9452	23.4	9452	27.0	
		9422	24.5	9422	27.1	
		9362	25.6	9362	27.1	
		9332	25.6	9332	28.1	
		9302	25.6	9302	28.1	
		9272	25.6	9272	28.1	
		9212	25.6	9212	28.1	
		9182	25.6	9182	28.1	
		9152	25.6	9152	28.2	
		9122	25.6	9122	28.2	
		9062	25.6	9062	28.2	
		9031	26.7	9031	28.2	
		9001	26.7	9001	29.3	
		8971	26.7	8971	29.3	
		8911	26.7	8911	29.3	
		8881	26.7	8881	29.3	
		8851	26.7	8851	29.3	
		8791	26.7	8791	29.3	
		8761	26.7	8761	30.4	
		8731	26.7	8731	30.4	
		8701	26.7	8701	30.4	
		8641	26.7	8641	30.4	
		8611	26.7	8611	30.4	
		8581	27.8	8581	30.4	
		8551	26.7	8551	30.4	
		8491	26.7	8491	30.4	
		8461	26.7	8461	30.4	
		8431	27.8	8431	29.3	
		8401	27.8	8401	30.4	
		8341	27.8	8341	29.4	
		8311	27.8	8311	29.4	
		8281	27.8	8281	30.4	
		8221	27.8	8221	30.4	
		8191	27.8	8191	30.4	
		8161	27.8	8161	30.4	
		8131	27.8	8131	29.3	
		8071	27.8	8071	30.4	
		8041	27.8	8041	29.3	
		8011	27.8	8011	29.3	
		7981	27.8	7981	29.3	
		7921	26.7	7921	29.3	
		7891	26.7	7891	29.3	
		7861	26.7	7861	29.3	
		7831	26.7	7831	29.3	
		7771	26.7	7771	29.3	
		7741	25.6	7741	29.3	
		7711	25.6	7711	28.2	
		7651	25.6	7651	28.2	
		7621	25.6	7621	27.1	
