	
17327	3.3	19846	68.7	19846	71.7	
17485	2.2	19816	68.7	19816	71.7	
17562	1.7	19756	68.7	19756	71.7	
17674	3.3	19726	68.7	19726	70.7	
17854	2.2	19696	67.6	19696	69.6	
18026	1.7	19666	66.5	19666	69.5	
18158	2.8	19605	66.5	19605	69.5	
18317	3.3	19575	66.5	19575	69.5	
18441	1.1	19545	66.5	19545	69.5	
18501	1.1	19515	65.4	19515	68.4	
18619	1.7	19455	65.4	19455	67.3	
18734	1.7	19425	64.3	19425	67.3	
18873	1.7	19395	64.3	19395	66.2	
18981	1.1	19365	63.1	19365	65.0	
19035	1.7	19305	62.0	19305	64.0	
19139	1.7	19275	61.0	19275	63.9	
19241	0.6	19245	60.9	19245	62.8	
19366	3.3	19215	59.8	19215	61.7	
19487	1.1	19155	58.7	19155	61.7	
19606	1.1	19125	58.7	19125	60.6	
19698	1.7	19095	57.6	19095	60.5	
19811	2.2	19035	56.5	19035	59.5	
19922	2.2	19005	56.5	19005	59.4	
20030	1.7	18975	56.5	18975	58.3	
20115	0.6	18945	56.5	18945	58.3	
20219	2.2	18884	55.4	18884	58.3	
20321	2.2	18854	54.3	18854	58.3	
20421	1.7	18824	54.3	18824	57.2	
20500	1.7	18764	54.3	18764	57.2	
20597	1.1	18734	54.3	18734	56.2	
20691	2.2	18704	54.3	18704	56.2	
20766	2.2	18674	54.3	18674	56.1	
20803	1.7	18614	54.3	18614	56.1	
20858	0.6	18584	54.3	18584	56.2	
20948	3.3	18554	54.3	18554	57.2	
21037	2.2	18524	54.3	18524	56.2	
21108	2.2	18464	54.3	18464	57.2	
21142	2.2	18434	54.3	18434	57.2	
21194	2.2	18404	54.3	18404	57.2	
21279	2.2	18374	54.3	18374	57.2	
21363	1.1	18314	55.4	18314	58.3	
21429	1.7	18284	55.4	18284	58.3	
21462	2.2	18254	55.4	18254	57.3	
21511	2.2	18193	55.4	18193	58.3	
21591	1.7	18163	55.4	18163	58.3	
21671	3.3	18133	55.4	18133	58.3	
21733	1.7	18103	55.4	18103	58.3	
21765	3.3	18043	55.4	18043	58.3	
21811	2.8	18013	55.4	18013	58.3	
21887	1.1	17983	55.4	17983	58.3	
21963	1.7	17953	55.4	17953	58.3	
22023	1.1	17893	55.4	17893	58.3	
22096	0.6	17863	55.4	17863	57.2	
22126	1.7	17833	55.4	17833	57.3	
22169	1.7	17803	55.4	17803	57.3	
22241	2.2	17743	55.4	17743	58.3	
22298	2.2	17713	54.3	17713	56.2	
22369	0.6	17683	53.2	17683	56.1	
22397	0.6	17623	53.2	17623	56.1	
22439	1.1	17593	53.2	17593	56.1	
22508	1.7	17563	53.2	17563	56.1	
22562	3.3	17533	52.1	17533	53.9	
22630	0.6	17502	51.0	17502	53.8	
		17442	49.9	17442	52.8	
		17412	49.9	17412	51.6	
		17382	48.8	17382	51.6	
		17322	47.7	17322	49.4	
		17292	46.6	17292	49.4	
		17262	46.6	17262	48.3	
		17232	44.4	17232	47.2	
		17172	44.4	17172	47.1	
		17142	43.3	17142	45.0	
		17112	42.2	17112	44.9	
		17082	42.2	17082	44.9	
		17022	41.1	17022	43.8	
		16992	40.0	16992	42.7	
		16962	40.0	16962	41.6	
		16902	38.9	16902	41.6	
		16872	37.8	16872	40.5	
		16842	37.8	16842	40.5	
		16812	37.8	16812	39.4	
		16751	37.8	16751	39.3	
		16721	35.6	16721	39.3	
		16691	35.5	16691	38.2	
		16661	35.5	16661	37.1	
		16601	35.5	16601	37.1	
		16571	35.5	16571	36.0	
		16541	33.3	16541	36.0	
		16511	33.3	16511	36.0	
		16451	33.3	16451	34.9	
		16421	32.2	16421	34.9	
		16391	32.2	16391	33.8	
		16331	32.2	16331	33.7	
		16301	31.1	16301	33.7	
		16271	30.0	16271	32.6	
		16241	30.0	16241	32.6	
		16181	30.0	16181	31.5	
		16151	28.9	16151	30.4	
		16121	28.9	16121	30.4	
		16091	27.8	16091	30.4	
		16030	27.8	16030	30.4	
		16000	27.8	16000	29.3	
